Year;Country of origin;Country of asylum;Asylum-seekers
2018;Algeria;Germany;1295
2018;Egypt;Germany;2589
2018;Bahrain;Germany;14
2018;Iraq;Germany;41954
2018;Israel;Germany;36
2018;Jordan;Germany;387
2018;Kuwait;Germany;51
2018;Libya;Germany;1345
2018;Lebanon;Germany;2820
2018;Mauritania;Germany;87
2018;Morocco;Germany;1310
2018;Oman;Germany;6
2018;Saudi Arabia;Germany;36
2018;Syrian Arab Rep.;Germany;52396
2018;Tunisia;Germany;599
2018;United Arab Emirates;Germany;5
2018;Yemen;Germany;873
2019;Algeria;Germany;1087
2019;Egypt;Germany;2187
2019;Bahrain;Germany;5
2019;Iraq;Germany;34890
2019;Israel;Germany;41
2019;Jordan;Germany;448
2019;Kuwait;Germany;31
2019;Libya;Germany;1179
2019;Lebanon;Germany;2245
2019;Mauritania;Germany;97
2019;Morocco;Germany;1147
2019;Oman;Germany;11
2019;Qatar;Germany;0
2019;Saudi Arabia;Germany;39
2019;Syrian Arab Rep.;Germany;41280
2019;Tunisia;Germany;574
2019;United Arab Emirates;Germany;0
2019;Yemen;Germany;890
2020;Algeria;Germany;1269
2020;Egypt;Germany;1481
2020;Bahrain;Germany;5
2020;Palestinian;Germany;497
2020;Iraq;Germany;27400
2020;Israel;Germany;26
2020;Jordan;Germany;426
2020;Kuwait;Germany;33
2020;Libya;Germany;935
2020;Lebanon;Germany;1888
2020;Mauritania;Germany;82
2020;Morocco;Germany;1170
2020;Oman;Germany;10
2020;Qatar;Germany;0
2020;Saudi Arabia;Germany;12
2020;Syrian Arab Rep.;Germany;37219
2020;Tunisia;Germany;606
2020;United Arab Emirates;Germany;0
2020;Yemen;Germany;840
2021;Algeria;Germany;1223
2021;Egypt;Germany;1179
2021;Bahrain;Germany;5
2021;Palestinian;Germany;905
2021;Iraq;Germany;29206
2021;Israel;Germany;19
2021;Jordan;Germany;405
2021;Kuwait;Germany;58
2021;Libya;Germany;983
2021;Lebanon;Germany;1836
2021;Mauritania;Germany;74
2021;Morocco;Germany;1156
2021;Oman;Germany;10
2021;Qatar;Germany;0
2021;Saudi Arabia;Germany;23
2021;Syrian Arab Rep.;Germany;53750
2021;Tunisia;Germany;784
2021;United Arab Emirates;Germany;0
2021;Yemen;Germany;1173
2022;Algeria;Germany;1125
2022;Egypt;Germany;1167
2022;Bahrain;Germany;0
2022;Palestinian;Germany;1410
2022;Iraq;Germany;29893
2022;Israel;Germany;27
2022;Jordan;Germany;391
2022;Kuwait;Germany;90
2022;Libya;Germany;1161
2022;Lebanon;Germany;2411
2022;Mauritania;Germany;88
2022;Morocco;Germany;1058
2022;Oman;Germany;10
2022;Saudi Arabia;Germany;24
2022;Syrian Arab Rep.;Germany;54218
2022;Tunisia;Germany;1265
2022;United Arab Emirates;Germany;5
2022;Yemen;Germany;1172
2023;Algeria;Germany;1653
2023;Egypt;Germany;1670
2023;Bahrain;Germany;11
2023;Palestinian;Germany;1849
2023;Iraq;Germany;28738
2023;Israel;Germany;77
2023;Jordan;Germany;595
2023;Kuwait;Germany;94
2023;Libya;Germany;1367
2023;Lebanon;Germany;2603
2023;Mauritania;Germany;76
2023;Morocco;Germany;1474
2023;Oman;Germany;0
2023;Qatar;Germany;0
2023;Saudi Arabia;Germany;29
2023;Syrian Arab Rep.;Germany;72642
2023;Tunisia;Germany;2193
2023;United Arab Emirates;Germany;5
2023;Yemen;Germany;2077
