Year;Country of origin;Country of asylum;Asylum-seekers
2018;Algeria;Sweden;87
2018;Egypt;Sweden;572
2018;Bahrain;Sweden;5
2018;Palestinian;Sweden;574
2018;Iraq;Sweden;5060
2018;Israel;Sweden;27
2018;Jordan;Sweden;271
2018;Kuwait;Sweden;55
2018;Libya;Sweden;115
2018;Lebanon;Sweden;478
2018;Mauritania;Sweden;0
2018;Morocco;Sweden;318
2018;Saudi Arabia;Sweden;15
2018;Syrian Arab Rep.;Sweden;2353
2018;Tunisia;Sweden;104
2018;United Arab Emirates;Sweden;0
2018;Yemen;Sweden;228
2019;Algeria;Sweden;70
2019;Egypt;Sweden;506
2019;Bahrain;Sweden;5
2019;Palestinian;Sweden;714
2019;Iraq;Sweden;2879
2019;Israel;Sweden;20
2019;Jordan;Sweden;273
2019;Kuwait;Sweden;26
2019;Libya;Sweden;90
2019;Lebanon;Sweden;455
2019;Mauritania;Sweden;5
2019;Morocco;Sweden;238
2019;Saudi Arabia;Sweden;11
2019;Syrian Arab Rep.;Sweden;2226
2019;Tunisia;Sweden;71
2019;United Arab Emirates;Sweden;0
2019;Yemen;Sweden;193
2020;Algeria;Sweden;62
2020;Egypt;Sweden;295
2020;Bahrain;Sweden;5
2020;Palestinian;Sweden;698
2020;Iraq;Sweden;1430
2020;Israel;Sweden;10
2020;Jordan;Sweden;185
2020;Kuwait;Sweden;15
2020;Libya;Sweden;65
2020;Lebanon;Sweden;267
2020;Mauritania;Sweden;0
2020;Morocco;Sweden;176
2020;Saudi Arabia;Sweden;5
2020;Syrian Arab Rep.;Sweden;1544
2020;Tunisia;Sweden;53
2020;United Arab Emirates;Sweden;0
2020;Yemen;Sweden;83
2021;Algeria;Sweden;69
2021;Egypt;Sweden;154
2021;Bahrain;Sweden;0
2021;Palestinian;Sweden;488
2021;Iraq;Sweden;1242
2021;Israel;Sweden;5
2021;Jordan;Sweden;137
2021;Kuwait;Sweden;0
2021;Libya;Sweden;53
2021;Lebanon;Sweden;227
2021;Mauritania;Sweden;0
2021;Morocco;Sweden;148
2021;Saudi Arabia;Sweden;0
2021;Syrian Arab Rep.;Sweden;1510
2021;Tunisia;Sweden;45
2021;United Arab Emirates;Sweden;0
2021;Yemen;Sweden;62
2022;Algeria;Sweden;56
2022;Egypt;Sweden;128
2022;Bahrain;Sweden;5
2022;Palestinian;Sweden;255
2022;Iraq;Sweden;1456
2022;Israel;Sweden;0
2022;Jordan;Sweden;111
2022;Kuwait;Sweden;5
2022;Libya;Sweden;40
2022;Lebanon;Sweden;233
2022;Mauritania;Sweden;0
2022;Morocco;Sweden;137
2022;Saudi Arabia;Sweden;0
2022;Syrian Arab Rep.;Sweden;1233
2022;Tunisia;Sweden;58
2022;United Arab Emirates;Sweden;0
2022;Yemen;Sweden;67
2023;Algeria;Sweden;50
2023;Egypt;Sweden;72
2023;Bahrain;Sweden;0
2023;Palestinian;Sweden;171
2023;Iraq;Sweden;1153
2023;Israel;Sweden;17
2023;Jordan;Sweden;105
2023;Kuwait;Sweden;0
2023;Libya;Sweden;33
2023;Lebanon;Sweden;159
2023;Mauritania;Sweden;0
2023;Morocco;Sweden;94
2023;Saudi Arabia;Sweden;0
2023;Syrian Arab Rep.;Sweden;856
2023;Tunisia;Sweden;42
2023;United Arab Emirates;Sweden;0
2023;Yemen;Sweden;45
