Year;Country of origin;Country of asylum;Refugees under UNHCR's mandate
2018;Algeria;Sweden;60
2018;Egypt;Sweden;362
2018;Bahrain;Sweden;15
2018;Palestinian;Sweden;1060
2018;Iraq;Sweden;12693
2018;Israel;Sweden;29
2018;Jordan;Sweden;294
2018;Kuwait;Sweden;25
2018;Libya;Sweden;397
2018;Lebanon;Sweden;528
2018;Mauritania;Sweden;14
2018;Morocco;Sweden;240
2018;Saudi Arabia;Sweden;50
2018;Syrian Arab Rep.;Sweden;109343
2018;Tunisia;Sweden;53
2018;United Arab Emirates;Sweden;5
2018;Yemen;Sweden;1343
2019;Algeria;Sweden;60
2019;Egypt;Sweden;391
2019;Bahrain;Sweden;17
2019;Palestinian;Sweden;1167
2019;Iraq;Sweden;12460
2019;Israel;Sweden;25
2019;Jordan;Sweden;284
2019;Kuwait;Sweden;32
2019;Libya;Sweden;393
2019;Lebanon;Sweden;542
2019;Mauritania;Sweden;13
2019;Morocco;Sweden;250
2019;Saudi Arabia;Sweden;55
2019;Syrian Arab Rep.;Sweden;113418
2019;Tunisia;Sweden;52
2019;United Arab Emirates;Sweden;5
2019;Yemen;Sweden;1659
2020;Algeria;Sweden;61
2020;Egypt;Sweden;409
2020;Bahrain;Sweden;17
2020;Palestinian;Sweden;1256
2020;Iraq;Sweden;11635
2020;Israel;Sweden;24
2020;Jordan;Sweden;279
2020;Kuwait;Sweden;33
2020;Libya;Sweden;384
2020;Lebanon;Sweden;523
2020;Mauritania;Sweden;13
2020;Morocco;Sweden;259
2020;Saudi Arabia;Sweden;62
2020;Syrian Arab Rep.;Sweden;114609
2020;Tunisia;Sweden;51
2020;United Arab Emirates;Sweden;5
2020;Yemen;Sweden;1822
2021;Algeria;Sweden;55
2021;Egypt;Sweden;422
2021;Bahrain;Sweden;16
2021;Palestinian;Sweden;1322
2021;Iraq;Sweden;10643
2021;Israel;Sweden;22
2021;Jordan;Sweden;279
2021;Kuwait;Sweden;32
2021;Libya;Sweden;263
2021;Lebanon;Sweden;509
2021;Mauritania;Sweden;13
2021;Morocco;Sweden;256
2021;Saudi Arabia;Sweden;60
2021;Syrian Arab Rep.;Sweden;115233
2021;Tunisia;Sweden;44
2021;United Arab Emirates;Sweden;5
2021;Yemen;Sweden;1727
2022;Algeria;Sweden;61
2022;Egypt;Sweden;408
2022;Bahrain;Sweden;16
2022;Palestinian;Sweden;1352
2022;Iraq;Sweden;10297
2022;Israel;Sweden;22
2022;Jordan;Sweden;291
2022;Kuwait;Sweden;30
2022;Libya;Sweden;245
2022;Lebanon;Sweden;518
2022;Mauritania;Sweden;13
2022;Morocco;Sweden;261
2022;Saudi Arabia;Sweden;62
2022;Syrian Arab Rep.;Sweden;111199
2022;Tunisia;Sweden;47
2022;United Arab Emirates;Sweden;5
2022;Yemen;Sweden;1731
2023;Algeria;Sweden;49
2023;Egypt;Sweden;363
2023;Bahrain;Sweden;16
2023;Palestinian;Sweden;1336
2023;Iraq;Sweden;9063
2023;Israel;Sweden;20
2023;Jordan;Sweden;267
2023;Kuwait;Sweden;14
2023;Libya;Sweden;198
2023;Lebanon;Sweden;387
2023;Mauritania;Sweden;8
2023;Morocco;Sweden;213
2023;Saudi Arabia;Sweden;54
2023;Syrian Arab Rep.;Sweden;94873
2023;Tunisia;Sweden;42
2023;United Arab Emirates;Sweden;5
2023;Yemen;Sweden;1593
