Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","01/10/2024 15:50 UTC"
"Last updated:","13 June 2024"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=6CpU9t
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,"ALG,BAH,ARE,IRQ,ISR,JOR,KUW,LEB,LBY,MAU,MOR,OMN,QAT,SAU,GAZ,SYR,TUN,UAE,WSH,YEM"
"Country of asylum:","ALB,AND,ARM,AUS,AZE,BLR,BEL,BSN,BVT,BUL,HRV,CYP,CZE,DEN,EST,FRO,FIN,FRA,GEO,GFR,GIB,GRE,GRL,VAT,HUN,ICE,IRE,ITA,LVA,LIE,LTU,LUX,MTA,MCO,MNE,NET,MCD,NOR,POL,POR,MDA,ROM,RUS,SMA,SRB,SVK,SVN,SPA,SJM,SWE,SWI,TUR,UKR,GBR"
Year,"Country of origin","Country of asylum","Country of origin (ISO)","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers
2018,Algeria,Albania,DZA,ALB,0,16
2018,Algeria,Austria,DZA,AUT,42,130
2018,Algeria,Belgium,DZA,BEL,46,125
2018,Algeria,"Bosnia and Herzegovina",DZA,BIH,0,5
2018,Algeria,Bulgaria,DZA,BGR,0,20
2018,Algeria,Cyprus,DZA,CYP,8,7
2018,Algeria,Czechia,DZA,CZE,0,8
2018,Algeria,Denmark,DZA,DNK,5,16
2018,Algeria,Finland,DZA,FIN,15,10
2018,Algeria,France,DZA,FRA,1790,1395
2018,Algeria,"United Kingdom of Great Britain and Northern Ireland",DZA,GBR,337,257
2018,Algeria,Germany,DZA,DEU,589,1295
2018,Algeria,Greece,DZA,GRC,86,677
2018,Algeria,Croatia,DZA,HRV,0,19
2018,Algeria,Hungary,DZA,HUN,15,0
2018,Algeria,Iceland,DZA,ISL,0,5
2018,Algeria,Ireland,DZA,IRL,43,220
2018,Algeria,Italy,DZA,ITA,199,165
2018,Algeria,Luxembourg,DZA,LUX,0,40
2018,Algeria,Montenegro,DZA,MNE,0,19
2018,Algeria,Malta,DZA,MLT,0,7
2018,Algeria,"Netherlands (Kingdom of the)",DZA,NLD,16,325
2018,Algeria,Norway,DZA,NOR,8,0
2018,Algeria,Poland,DZA,POL,5,6
2018,Algeria,Romania,DZA,ROU,5,0
2018,Algeria,Spain,DZA,ESP,48,1215
2018,Algeria,Slovenia,DZA,SVN,0,24
2018,Algeria,Sweden,DZA,SWE,60,87
2018,Algeria,Switzerland,DZA,CHE,162,194
2018,Algeria,Türkiye,DZA,TUR,5,24
2018,Algeria,Ukraine,DZA,UKR,0,13
2018,Egypt,Albania,EGY,ALB,5,0
2018,Egypt,Austria,EGY,AUT,208,212
2018,Egypt,Belgium,EGY,BEL,50,70
2018,Egypt,Belarus,EGY,BLR,5,0
2018,Egypt,Bulgaria,EGY,BGR,15,5
2018,Egypt,Cyprus,EGY,CYP,110,706
2018,Egypt,Czechia,EGY,CZE,5,7
2018,Egypt,Denmark,EGY,DNK,16,10
2018,Egypt,Estonia,EGY,EST,0,5
2018,Egypt,Finland,EGY,FIN,14,15
2018,Egypt,France,EGY,FRA,980,413
2018,Egypt,"United Kingdom of Great Britain and Northern Ireland",EGY,GBR,758,327
2018,Egypt,Georgia,EGY,GEO,43,49
2018,Egypt,Germany,EGY,DEU,2122,2589
2018,Egypt,Greece,EGY,GRC,264,1284
2018,Egypt,Croatia,EGY,HRV,7,0
2018,Egypt,Hungary,EGY,HUN,13,0
2018,Egypt,Iceland,EGY,ISL,0,9
2018,Egypt,Ireland,EGY,IRL,19,68
2018,Egypt,Italy,EGY,ITA,2289,796
2018,Egypt,Luxembourg,EGY,LUX,5,10
2018,Egypt,Latvia,EGY,LVA,5,7
2018,Egypt,"Rep. of Moldova",EGY,MDA,5,0
2018,Egypt,Malta,EGY,MLT,74,30
2018,Egypt,"Netherlands (Kingdom of the)",EGY,NLD,242,109
2018,Egypt,Norway,EGY,NOR,59,5
2018,Egypt,Poland,EGY,POL,65,15
2018,Egypt,Romania,EGY,ROU,21,0
2018,Egypt,Spain,EGY,ESP,15,65
2018,Egypt,Slovakia,EGY,SVK,5,0
2018,Egypt,Sweden,EGY,SWE,362,572
2018,Egypt,Switzerland,EGY,CHE,110,19
2018,Egypt,Türkiye,EGY,TUR,59,317
2018,Egypt,Ukraine,EGY,UKR,5,22
